cnpj_basico;cnpj_ordem;cnpj_dv;identificador_matriz_filial;nome_fantasia;situacao_cadastral;data_situacao_cadastral;motivo_situacao_cadastral;nome_cidade_exterior;pais;data_inicio_atividade;cnae_fiscal_principal;cnae_fiscal_secundaria;tipo_logradouro;logradouro;numero;complemento;bairro;cep;uf;municipio;ddd_1;telefone_1;ddd_2;telefone_2;ddd_fax;fax;correio_eletronico;situacao_especial;data_situacao_especial
53291416;0001;72;1;MP EMPREENDIMENTOS;02;20231222;00;;;2023-12-22;4110700;6810202;AVENIDA;JORGE TEIXEIRA;68;SALA  406                 EDIF  CENTRO EMP. PREMIER;CANDEIAS;45028050;BA;3965;77;32025914;;;;;PRATICACONTABILIDADE01@GMAIL.COM;;
53612679;0001;36;1;IMBASSAI 4 MIG INCORPORACOES;02;20240123;00;;;2024-01-23;4120400;4110700;AVENIDA;BRIGADEIRO MARIO EPINGHAUS;78;COND  PORTO 3                   BUSINESS CENTER     SALA  215;CENTRO;42703640;BA;3685;71;82858686;;;;;ELEMENTAR@ELEMENTARCONSTRUPLAN.COM;;
53629144;0001;78;1;TERRAS 1 DESENVOLVIMENTO IMOBILIARIO SPE;02;20240124;00;;;2024-01-24;4110700;4120400,6810201;RUA;EWERTON VISCO;000290;      EDIF BOULEVARD SIDE       EMPRESARIAL SALA          2101D;CAMINHO DAS ARVORES;41820022;BA;3849;71;82114967;;;;;FINANCEIRO@ALIAEMPREENDIMENTOS.COM.BR;;
53655076;0001;11;1;LNO;02;20240125;00;;;2024-01-25;4120400;4299501,7112000;RUA;MIGUEL CALMON;459;EDIF  ALMIRANTE BARROSO   SALA  206;COMERCIO;40015010;BA;3849;71;99280252;;;;;ADMCONSULTORIASERVICOS@GMAIL.COM;;
53720826;0001;91;1;NORDESTE CONSTRUTORA LTDA;02;20240130;00;;;2024-01-30;4120400;2330305,2512800,3313999,3314707,3321000,3329501,3600601,3600602,3701100,3702900,3811400,3812200,3821100,4110700,4211101,4212000,4213800,4221901,4221902,4221903,4222701,4222702,4291000,4292801,4299501,4311801,4313400,4319300,4321500,4322301,4322302,4322303,4329103,4329104,4330401,4330402,4330403,4330404,4330499,4391600,4399101,4399102,4399103,4399104,4399105,4520001,4921301,4923002,4924800,4929901,4929902,4930202,5212500,5250804,5620102,6810201,7111100,7112000,7119701,7319001,7711000,7719599,7731400,7732201,7732202,7739003,7739099,7820500,7990200,8111700,8121400,8122200,8129000,8130300,8211300,8219999,8230001,9001902,9001906,9319101;AVENIDA;PRISCO VIANA;S/N;;CANDEAL;46430000;BA;3533;77;81044232;;;;;JNETOGBI@HOTMAIL.COM;;
53772626;0001;82;1;;02;20240202;00;;;2024-02-02;4120400;0162803,1822901,1822999,3811400,3812200,4213800,4313400,4319300,4321500,4322301,4329104,4330404,4330499,4399105,4761003,4923001,4923002,4924800,4930201,4930202,5221400,5223100,5611203,6010100,7319099,7711000,7732201,7732202,7739003,8020001,8121400,8122200,8130300,8230001,9511800,9521500,9603302;RUA;MUTIRAO;15;;CENTRO;48130000;BA;3343;75;88838414;;;;;TORREALTASERVICOS@HOTMAIL.COM;;
53777560;0001;13;1;VOGAR EMPREENDIMENTOS BAHIA;02;20240202;00;;;2024-02-02;4110700;6462000,6810201,6810202,6810203;AVENIDA;BRASIL;257;ANDAR 1                   SALA  107;CENTRO;42850000;BA;3087;71;36276849;;;;;FISCAL@RENOVACAOCONSULTORIA.COM.BR;;
08343492;1158;81;2;CANDEIAS TULIP;02;20240112;00;;;2024-01-12;4110700;;RUA;A;385;LOTE  02                  QUADRAA;UNIVERSIDADE;45032160;BA;3965;31;36158182;;;;;GESTAO.TRIBUTARIA@MRV.COM.BR;;
53409359;0001;83;1;J S MELO EMPREENDIMENTOS ME;02;20240108;00;;;2024-01-08;4120400;0220906,2512800,2949201,4330499,4399103,4642702,4647801,4683400,4692300,4744001,4744099,4789007,4930202,5021101,7711000,7719501,8230001,9529105;2A TRAVESSA;LOTEAMENTO CAMELEAO;38;;PALMEIRAS;44420000;BA;3713;75;98248515;;;75;98248515;JSMELOEMPREENDIMENTOS@GMAIL.COM;;
53843045;0001;94;1;KRREVITALICAO;02;20240207;00;;105;2024-02-07;4120400;4330404;RUA;GODOFREDO ANDRADE;60;;CENTRO;44550000;BA;3881;75;92746544;0000;00000000;;;FINANCE-CONTABIL@HOTMAIL.COM;;
46877025;0002;50;2;CONDOMINIO ILHEUS SELECT;02;20240122;00;;;2024-01-22;4110700;;AVENIDA;TANCREDO NEVES;60;      RUA D                     LOT SITIO PARAISO;JARDIM ATLANTICO;45655000;BA;3573;71;91142188;;;;;IMOBILIARIOILHEUSSPE@GMAIL.COM;;
